Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
NA	NA	Polr2b	 30
NA	NA	Polr2h	 14
NA	NA	Polr2i	 21
NA	NA	Polr3a	  4
NA	NA	Polr3g	 41
NA	NA	Pomt2	  9
NA	NA	Por	  4
NA	NA	Ppard	 11
NA	NA	Ppat	 39
NA	NA	Ppdpf	 26
NA	NA	Ppfibp1	  6
NA	NA	Ppif	  3
NA	NA	Ppp1r10	 19
NA	NA	Ppp1r14b	  8
NA	NA	Ppp1r15b	  4
NA	NA	Ppp1r3b	 24
NA	NA	Ppp1r3c	 71
NA	NA	Ppp2r1a	 18
NA	NA	Ppp2r3c	 14
NA	NA	Ppp6r3	 14
NA	NA	Pptc7	  7
NA	NA	Prkaca	 43
NA	NA	Prkag1	  2
NA	NA	Prkd3	 16
NA	NA	Prkrip1	  2
NA	NA	Prpsap1	  6
NA	NA	Psen2	 36
NA	NA	Psma5	 46
NA	NA	Psma7	 18
NA	NA	Psmd13	 36
NA	NA	Pth1r	  7
NA	NA	Ptp4a1	111
NA	NA	Ptpn3	 12
NA	NA	Pum1	  9
NA	NA	Pxmp4	  5
NA	NA	Pycrl	  8
NA	NA	Rab11fip2	  2
NA	NA	Rab14	  4
NA	NA	Rab18	  3
NA	NA	Rab1b	  1
NA	NA	Rab3gap1	  4
NA	NA	Rabggtb	  9
NA	NA	Rad21	 11
NA	NA	Rad51c	  5
NA	NA	Rai14	 43
NA	NA	Rap1gds1	  9
NA	NA	Rap2a	  5
NA	NA	Rapgef4	  6
NA	NA	Rasl11a	 10
NA	NA	Rassf3	 29
NA	NA	Rassf6	 30
NA	NA	Rbl2	 13
NA	NA	Rbm8a	  2
NA	NA	Rbms1	 28
NA	NA	Rbpms	 16
NA	NA	Rcan1	  4
NA	NA	Rcbtb1	 27
NA	NA	Rcl1	 31
NA	NA	Rdh13	 56
NA	NA	Repin1	 48
NA	NA	Rev1	 35
NA	NA	Rfxank	 17
NA	NA	Rgs16	 43
NA	NA	Rhbdd1	  1
NA	NA	Rhbdd2	 25
NA	NA	Rhobtb1	  1
NA	NA	Ric8	 24
NA	NA	Rictor	 11
NA	NA	Ring1	 19
NA	NA	Riok2	 55
NA	NA	Ripk2	 11
NA	NA	Rit1	  5
NA	NA	Rnase4	 13
NA	NA	Rnf125	 33
NA	NA	Rnf141	 27
NA	NA	Rnf167	 52
NA	NA	Rnf169	 10
NA	NA	Rnf187	  3
NA	NA	Rnf19b	 47
NA	NA	Rnf4	  9
NA	NA	RP24-201C14.5	 30
NA	NA	Rph3al	  1
NA	NA	Rpl22	  5
NA	NA	Rps6ka5	  6
NA	NA	Rrm2	 59
NA	NA	Rrp12	  1
NA	NA	Rtcd1	 26
NA	NA	Rtn4rl1	 21
NA	NA	Rxra	 46
NA	NA	S100a10	 29
NA	NA	S1pr1	  4
NA	NA	Sac3d1	  2
NA	NA	Samd1	 19
NA	NA	Sars	 29
NA	NA	Scamp1	 15
NA	NA	Scap	 22
NA	NA	Scarb2	 16
